Time(utc),GHI,DHI,DNI,LWD,wind_dir_min,wind_dir_avg,wind_dir_max,wind_speed_min,wind_speed_avg,wind_speed_max,air_temperature,relative_humidity,air_pressure,rain_accumulation,rain_duration,rain_intensity,hail_accumulation,hail_duration,hail_intensity,
05:59:00 30/03/2018,41.43,22.14,179.1,179.1,78.95,50.3,55.03,1.38,1.737,2.043,-1.418,72.09,1003,0,0,0,0,0,0,
06:59:00 30/03/2018,189.6,51.28,590.1,590.1,62.57,45.62,53.27,1.79,2.208,2.653,-0.465,69.07,1003,0,0.3333,0,0,0,0,
07:59:00 30/03/2018,335.7,68,738.5,738.5,92.95,62.9,77.47,2.022,2.455,2.922,0.4133,65,1003,0,0,0,0,0,0,
08:59:00 30/03/2018,464,76.34,823.7,823.7,123.4,91.2,76.22,1.558,1.945,2.313,1.297,61,1004,0,0,0,0,0,0,
09:59:00 30/03/2018,564,86.3,866.2,866.2,75.15,80.53,80.92,1.925,2.285,2.61,1.897,57.6,1004,0,0,0,0,0,0,
10:59:00 30/03/2018,632.3,102.4,885.4,885.4,105.7,112,100.4,1.635,1.925,2.225,2.503,54.86,1004,0,0,0,0,0,0,
11:59:00 30/03/2018,571.4,108.9,759,759,109.9,103.2,102.4,1.802,2.103,2.42,3.003,53.22,1004,0,0,0,0,0,0,
12:59:00 30/03/2018,608.6,83.35,903.7,903.7,76.37,84.73,93.02,2.332,2.633,2.96,3.512,50.47,1004,0,0,0,0,0,0,
13:59:00 30/03/2018,524.8,72.91,877.3,877.3,87.93,97.15,106.4,2.46,2.843,3.235,3.785,50.47,1004,0,0,0,0,0,0,
14:59:00 30/03/2018,400,72.48,776.3,776.3,88.3,97.45,106.5,2.258,2.627,2.96,3.738,51.88,1003,0,0,0,0,0,0,
15:59:00 30/03/2018,225.2,80.51,465.2,465.2,90.43,100.1,109.7,1.82,2.115,2.427,3.432,53.06,1003,0,0,0,0,0,0,
16:59:00 30/03/2018,104.5,70.14,206.2,206.2,113.6,126.1,131,1.743,2.032,2.303,3.038,56.44,1003,0.03,0.6667,0.02167,0,0,0,
17:59:00 30/03/2018,8.402,7.925,19.43,19.43,124.8,135.6,146.4,1.688,2.015,2.357,2.147,64.25,1003,0,0,0,0,0,0,
18:59:00 30/03/2018,-0.9113,-0.8617,-0.1405,-0.1405,128.6,143.5,157.4,1.968,2.352,2.72,1.787,69.78,1004,0,0,0,0,0,0,
19:59:00 30/03/2018,-0.9943,-0.9169,-0.1774,-0.1774,118.2,130.6,142,1.912,2.232,2.55,1.608,70.09,1004,0,0,0,0,0,0,
20:59:00 30/03/2018,-1.146,-0.9558,-0.1797,-0.1797,109,118.6,128.4,2.398,2.837,3.23,1.398,66.08,1004,0,0,0,0,0,0,
21:59:00 30/03/2018,-1.373,-2.504,-0.5096,-0.5096,95.43,103.4,111.4,2.362,2.673,3.005,1.028,58.73,1004,0,0,0,0,0,0,
22:59:00 30/03/2018,-3.414,-3.03,-0.5123,-0.5123,97.97,106.2,114.6,2.205,2.538,2.842,0.4183,66.52,1004,0,0,0,0,0,0,
23:59:00 30/03/2018,-3.607,-3.061,-0.5007,-0.5007,97.32,105.6,114.5,1.768,2.048,2.342,0.01667,74.14,1004,0,0,0,0,0,0,
00:59:00 31/03/2018,-3.394,-2.896,-0.4456,-0.4456,91.15,99.48,107.7,2.357,2.69,3.02,-0.2033,77.26,1003,0,0,0,0,0,0,
01:59:00 31/03/2018,-3.29,-2.749,-0.4439,-0.4439,91.57,99.03,106.2,2.487,2.787,3.102,-0.2933,76.92,1003,0,0,0,0,0,0,
02:59:00 31/03/2018,-3.08,-2.57,-0.3994,-0.3994,83.07,91.78,100.6,2.452,2.803,3.165,-0.4133,76.78,1003,0,0,0,0,0,0,
03:59:00 31/03/2018,-2.482,-2.05,-0.3239,-0.3239,83.15,92.23,101.1,2.708,3.123,3.548,-0.56,74.41,1002,0,0,0,0,0,0,
04:59:00 31/03/2018,0.4546,0.8784,-0.2734,-0.2734,83.92,93.22,102.7,2.888,3.365,3.818,-0.6083,71.83,1002,0,0,0,0,0,0,
